wave_id,step,truth_definition,respondent,actual_top_broker,actual_top_betweenness,perceived_rank_of_actual_top_broker,bridge_top1_hit,bridge_top3_hit,bridge_mean_abs_rank_error,n_ranked,n_expected,n_fail_safe
post,3000,observed_interaction_cumulative_betweenness_rank,Isabella Rodriguez,Jane Moreno,0.167710,6,0,0,6.960000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Jane Moreno,Jane Moreno,0.167710,1,1,1,7.200000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Jennifer Moore,Jane Moreno,0.167710,8,0,0,6.640000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,John Lin,Jane Moreno,0.167710,8,0,0,6.400000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Klaus Mueller,Jane Moreno,0.167710,7,0,0,6.400000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Latoya Williams,Jane Moreno,0.167710,11,0,0,7.920000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Maria Lopez,Jane Moreno,0.167710,6,0,0,8.560000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Mei Lin,Jane Moreno,0.167710,2,0,1,7.200000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Rajiv Patel,Jane Moreno,0.167710,12,0,0,8.480000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Ryan Park,Jane Moreno,0.167710,4,0,0,6.720000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Sam Moore,Jane Moreno,0.167710,7,0,0,6.160000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Tamara Taylor,Jane Moreno,0.167710,7,0,0,8.800000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Tom Moreno,Jane Moreno,0.167710,7,0,0,7.280000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Wolfgang Schulz,Jane Moreno,0.167710,10,0,0,8.640000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Yuriko Yamamoto,Jane Moreno,0.167710,19,0,0,8.960000,25,25,0
