wave_id,step,truth_layer,truth_file,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Mei Lin,6,29,14,56,0.171429,0.300000,0.341176,0.700000,0.590476,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Rajiv Patel,10,40,10,45,0.200000,0.500000,0.470588,0.500000,0.523810,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Ryan Park,13,44,7,41,0.228070,0.650000,0.517647,0.350000,0.514286,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Wolfgang Schulz,5,45,15,40,0.100000,0.250000,0.529412,0.750000,0.428571,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,__overall__,132,569,168,706,0.188302,0.440000,0.446275,0.560000,0.532063,14,1575
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Abigail Chen,13,40,21,31,0.245283,0.382353,0.563380,0.617647,0.419048,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Arthur Burton,16,34,18,37,0.320000,0.470588,0.478873,0.529412,0.504762,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Ayesha Khan,10,36,24,35,0.217391,0.294118,0.507042,0.705882,0.428571,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Carlos Gomez,18,33,16,38,0.352941,0.529412,0.464789,0.470588,0.533333,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Francisco Lopez,13,33,21,38,0.282609,0.382353,0.464789,0.617647,0.485714,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Giorgio Rossi,16,34,18,37,0.320000,0.470588,0.478873,0.529412,0.504762,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Hailey Johnson,19,40,15,31,0.322034,0.558824,0.563380,0.441176,0.476190,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Isabella Rodriguez,11,28,23,43,0.282051,0.323529,0.394366,0.676471,0.514286,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Klaus Mueller,13,34,21,37,0.276596,0.382353,0.478873,0.617647,0.476190,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Latoya Williams,15,27,19,44,0.357143,0.441176,0.380282,0.558824,0.561905,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Maria Lopez,8,18,26,53,0.307692,0.235294,0.253521,0.764706,0.580952,14,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Mei Lin,10,25,24,46,0.285714,0.294118,0.352113,0.705882,0.533333,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Rajiv Patel,13,37,21,34,0.260000,0.382353,0.521127,0.617647,0.447619,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Ryan Park,16,41,18,30,0.280702,0.470588,0.577465,0.529412,0.438095,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,Wolfgang Schulz,11,39,23,32,0.220000,0.323529,0.549296,0.676471,0.409524,0,105
t1200,1200,background_social_tie,ground_truth/background_social_edges.csv,__overall__,202,499,308,566,0.288160,0.396078,0.468545,0.603922,0.487619,14,1575
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Abigail Chen,16,37,21,31,0.301887,0.432432,0.544118,0.567568,0.447619,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Arthur Burton,19,31,18,37,0.380000,0.513514,0.455882,0.486486,0.533333,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Ayesha Khan,10,36,27,32,0.217391,0.270270,0.529412,0.729730,0.400000,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Carlos Gomez,20,31,17,37,0.392157,0.540541,0.455882,0.459459,0.542857,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Francisco Lopez,16,30,21,38,0.347826,0.432432,0.441176,0.567568,0.514286,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Giorgio Rossi,17,33,20,35,0.340000,0.459459,0.485294,0.540541,0.495238,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Hailey Johnson,22,37,15,31,0.372881,0.594595,0.544118,0.405405,0.504762,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Isabella Rodriguez,12,27,25,41,0.307692,0.324324,0.397059,0.675676,0.504762,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Klaus Mueller,13,34,24,34,0.276596,0.351351,0.500000,0.648649,0.447619,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Latoya Williams,18,24,19,44,0.428571,0.486486,0.352941,0.513514,0.590476,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Maria Lopez,9,17,28,51,0.346154,0.243243,0.250000,0.756757,0.571429,14,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Mei Lin,10,25,27,43,0.285714,0.270270,0.367647,0.729730,0.504762,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Rajiv Patel,16,34,21,34,0.320000,0.432432,0.500000,0.567568,0.476190,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Ryan Park,19,38,18,30,0.333333,0.513514,0.558824,0.486486,0.466667,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,Wolfgang Schulz,11,39,26,29,0.220000,0.297297,0.573529,0.702703,0.380952,0,105
t1200,1200,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_1200.csv,__overall__,228,473,327,547,0.325250,0.410811,0.463725,0.589189,0.492063,14,1575
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Abigail Chen,11,41,14,39,0.211538,0.440000,0.512500,0.560000,0.476190,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Arthur Burton,12,40,13,40,0.230769,0.480000,0.500000,0.520000,0.495238,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Ayesha Khan,8,38,17,42,0.173913,0.320000,0.475000,0.680000,0.476190,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Carlos Gomez,17,57,8,23,0.229730,0.680000,0.712500,0.320000,0.380952,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Francisco Lopez,12,38,13,42,0.240000,0.480000,0.475000,0.520000,0.514286,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Giorgio Rossi,13,39,12,41,0.250000,0.520000,0.487500,0.480000,0.514286,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Hailey Johnson,18,44,7,36,0.290323,0.720000,0.550000,0.280000,0.514286,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Isabella Rodriguez,10,35,15,45,0.222222,0.400000,0.437500,0.600000,0.523810,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Klaus Mueller,14,54,11,26,0.205882,0.560000,0.675000,0.440000,0.380952,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Latoya Williams,12,40,13,40,0.230769,0.480000,0.500000,0.520000,0.495238,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Maria Lopez,2,20,22,60,0.090909,0.083333,0.250000,0.916667,0.596154,28,104
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Mei Lin,6,30,19,50,0.166667,0.240000,0.375000,0.760000,0.533333,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Rajiv Patel,11,40,14,40,0.215686,0.440000,0.500000,0.560000,0.485714,0,105
1800,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Ryan Park,13,32,12,48,0.288889,0.520000,0.400000,0.480000,0.580952,14,105
